WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	item_1	sounds	av	av	ouch			
item_2	item_2	sounds	mjav	meow	meow			
item_3	item_3	sounds	rap	rap	quack quack			
item_4	item_4	sounds	fut	fut	choo choo			
item_5	item_5	sounds	muh	muh	moo			
item_6	item_6	sounds	vov	wow	woof woof			
item_7	item_7	sounds	grrrr	grrr	grrr			
item_8	item_8	sounds	mæh	mæh	baa baa			
item_9		sounds	åh åhh (ups)	oh oh (ups)			uh oh	
item_10	item_10	sounds	kykliky	kykliky	cockadoodledoo			
item_11	item_11	sounds	mm mm (lækkert)	mm mm (delicious)	yum yum			
item_12	item_9	sounds	årnnn (bil-lyd)	årnnn (car audio)	vroom			
item_13	item_12	animals	abe	monkey	monkey			
item_14	item_22	animals	gås	goose	goose			
item_15	item_23	animals	løve	lion	lion			
item_16	item_15	animals	and	duck	duck			
item_17		animals	hane	rooster			rooster	
item_18	item_26	animals	mus	mouse	mouse			
item_19	item_18	animals	bamse	teddy bear	teddybear			
item_20	item_25	animals	hest	horse	horse			
item_21		animals	myg	mosquitoes			mosquito	
item_22	item_21	animals	bi	bi	bee			
item_23	item_28	animals	hjort	deer	deer			
item_24		animals	myre	ant			ant	
item_25	item_24	animals	bjørn	Bear	bear			
item_26	item_31	animals	hvalp	Puppy	puppy			
item_27	item_29	animals	pingvin	Penguin	penguin			
item_28	item_27	animals	dyr	expensive	animal			
item_29	item_34	animals	hund	dog	dog			
item_30	item_32	animals	pony	pony	pony			
item_31	item_30	animals	egern	Squirrel	squirrel			
item_32		animals	høne	hen			chicken (animal)	
item_33	item_35	animals	skildpadde	turtle	turtle			
item_34	item_33	animals	elefant	elephant	elephant			
item_35	item_37	animals	kalkun	turkey	turkey			
item_36	item_38	animals	sommerfugl	butterfly	butterfly			
item_37	item_36	animals	fisk (animal)	fish	fish (animal)			
item_38	item_40	animals	kanin	rabbit	bunny			
item_39	item_41	animals	tiger	tiger	tiger			
item_40	item_39	animals	flue	fly	fly (animal)			
item_41	item_43	animals	kat	cat	cat			
item_42	item_44	animals	ugle	owl	owl			
item_43	item_42	animals	frø	seed	frog			
item_44	item_46	animals	killing	kitten	kitty			
item_45		animals	ulv	wolf			wolf	
item_46	item_45	animals	fugl	bird	bird			
item_47	item_14	animals	ko	cow	cow			
item_48		animals	zebra	zebra			zebra	
item_49	item_13	animals	får	sheep	sheep			
item_50		animals	krokodille	crocodile			crocodile	
item_51	item_47	animals	æsel	donkey	donkey			
item_52	item_16	animals	giraf	Giraffe	giraffe			
item_53	item_17	animals	kylling (animal)	chicken	chicken (animal)			
item_54	item_19	animals	gris	pig	pig			
item_55	item_20	animals	lam	lamb	lamb			
item_56	item_48	vehicles	barnevogn	pram	stroller			
item_57	item_52	vehicles	flyvemaskine	airplane	airplane			
item_58	item_50	vehicles	motorcykel	motorcycle	motorcycle			
item_59	item_51	vehicles	bil	car	car			
item_60		vehicles	helikopter	helicopter	helicopter			
item_61		vehicles	skib	ship			boat	
item_62	item_54	vehicles	brandbil	fire truck	firetruck			
item_63	item_55	vehicles	klapvogn	stroller	stroller			
item_64	item_53	vehicles	tog	train	train			
item_65	item_56	vehicles	bus	bus	bus			
item_66		vehicles	kælk	toboggan			sled	
item_67		vehicles	traktor	tractor	tractor			
item_68	item_49	vehicles	cykel	bicycle	bicycle			
item_69	item_57	vehicles	lastbil	truck	truck			
item_70	item_58	toys	ballon	balloon	balloon			
item_71		toys	farveblyant	crayon	pen/pencil			
item_72	item_60	toys	legetøj	toy	toy (object)			
item_73	item_61	toys	blyant	pencil	pen/pencil			
item_74		toys	gave	gift			present	
item_75		toys	lego	lego			blocks	
item_76	item_64	toys	bog	book	book			
item_77		toys	historie	history				
item_78		toys	puslespil	puzzles			puzzle	
item_79	item_59	toys	bold	ball	ball			
item_80	item_65	toys	klods	block	block			
item_81		toys	spil	game			game	
item_82	item_62	toys	dukke	doll	doll			
item_83		toys	kridt	chalk			chalk	
item_84	item_63	toys	sæbebobler	bubble blower	bubbles			
item_85		toys	duplo	duplicate			blocks	
item_86		toys	kuglepen	pen	pen/pencil			
item_87		toys	modellérvoks	modellérvoks				
item_88		food_drink	agurk	cucumber			cucumber	
item_89	item_73	food_drink	kiks	biscuits	cracker		cracker	
item_90		food_drink	sandwich	sandwich			sandwich	
item_91	item_66	food_drink	appelsin	orange	orange (food)			
item_92		food_drink	kinderæg	Kinder			chocolate	
item_93	item_71	food_drink	slik	candy	candy			
item_94	item_69	food_drink	banan	banana	banana			
item_95	item_76	food_drink	kylling (food)	chicken	chicken (food)			
