itemID,item,type,category,choices,definition,complexity_category,gloss,uni_lemma
item_1,S1_OUCH,word,sounds,produces,άου,NA,ouch,awoo
item_2,S2_FROG_SO,word,sounds,produces,βρεκεκέξ κουάξ κουάξ,NA,frog sound,ribbit
item_3,S3_WOOF_WO,word,sounds,produces,γαβ γαβ,NA,woof woof,woof woof
item_4,S4_YUMMY,word,sounds,produces,γιάμι,NA,yummy,yum yum
item_5,S5_CHICKEN,word,sounds,produces,κοκοκό,NA,chicken sound,NA
item_6,S6_COOCKAD,word,sounds,produces,κικιρίκου,NA,coockadoodledoo,cockadoodledoo
item_7,S7_OWL_SOU,word,sounds,produces,κουκουβά,NA,owl sound,hoot
item_8,S8_YUM_YUM,word,sounds,produces,μιαμ μιαμ,NA,yum yum,yum yum
item_9,S9_MEOW,word,sounds,produces,μιάου,NA,meow,meow
item_10,S10_MOO,word,sounds,produces,μουουου,NA,moo,moo
item_11,S11_SHEEP_,word,sounds,produces,μπεεε,NA,sheep sound,baa baa
item_12,S12_WATER__CG,word,sounds,produces,μπουά,NA,water CG,NA
item_13,S13_BLOOM,word,sounds,produces,μπλουμ,NA,bloom,NA
item_14,S14_SOUND__CG,word,sounds,produces,ουφ(φου),NA,sound when getting tired/bored CG,NA
item_15,S15_QUACK_,word,sounds,produces,παπαπά,NA,quack quack,quack quack
item_16,S16_SOUND__CG,word,sounds,produces,πουφ(φου),NA,sound indicating bad smell CG,NA
item_17,S17_BIRD_S,word,sounds,produces,τσίου,NA,bird sound,tweet tweet
item_18,A1_COW,word,animals,produces,αγελάδα,NA,cow,cow
item_19,A2_HORSE,word,animals,produces,άλογο,NA,horse,horse
item_20,A3_SPIDER,word,animals,produces,αράχνη,NA,spider,spider
item_21,A4_BEAR,word,animals,produces,αρκούδα,NA,bear,bear
item_22,A5_LAMB,word,animals,produces,αρνί,NA,lamb,lamb
item_23,A6_FROG,word,animals,produces,βάτραχος,NA,frog,frog
item_24,A7_DONKEY,word,animals,produces,γάιδαρος,NA,donkey,donkey
item_25,A8_CAT,word,animals,produces,γάτα,NA,cat,cat
item_26,A9_PIG,word,animals,produces,γουρούνι,NA,pig,pig
item_27,A10_DOLPHI,word,animals,produces,δελφίνι,NA,dolphin,dolphin
item_28,A11_DEER,word,animals,produces,ελάφι,NA,deer,deer
item_29,A12_ELEPHA,word,animals,produces,ελέφαντας,NA,elephant,elephant
item_30,A13_INSECT,word,animals,produces,έντομο,NA,insect,bug
item_31,A14_ANIMAL,word,animals,produces,ζώο,NA,animal,animal
item_32,A15_CAMEL,word,animals,produces,καμήλα,NA,camel,camel
item_33,A16_GIRAFF,word,animals,produces,καμηλοπάρδαλη,NA,giraffe,giraffe
item_34,A17_SNAIL__CG,word,animals,produces,καράολος,NA,snail CG,snail
item_35,A18_COCKRO,word,animals,produces,κατσαρίδα,NA,cockroach,cockroach
item_36,A19_GOAT,word,animals,produces,κατσίκα,NA,goat,goat
item_37,A20_ROOSTE,word,animals,produces,κόκορας,NA,rooster,rooster
item_38,A21_CHICKE,word,animals,produces,κότα,NA,chicken,chicken (animal)
item_39,A22_OWL,word,animals,produces,κουκουβάγια,NA,owl,owl
item_40,A23_RABBIT,word,animals,produces,κουνέλι,NA,rabbit,bunny
item_41,A24_MOSQUI,word,animals,produces,κουνούπι,NA,mosquito,mosquito
item_42,A25_TYPE_O_CG,word,animals,produces,κουρκουτάς,NA,type of lizard CG,lizard
item_43,A26_PUPPY,word,animals,produces,κουτάβι,NA,puppy,puppy
item_44,A27_SNAKE__CG,word,animals,produces,κουφή,NA,snake CG,snake
item_45,A28_CROCOD,word,animals,produces,κροκόδειλος,NA,crocodile,crocodile
item_46,A29_HARE,word,animals,produces,λαγός,NA,hare,hare
